name,seed_slug,roles,hq_place,founding_year,verified_tickers,review_note
Rope Robotics,rope-robotics,OEM|OPERATOR,,,,HQ place missing; Founding year missing
Runway,runway,DATA_SIMULATION_PROVIDER|MODEL_DEVELOPER,New York City,2018,,Independent confirmation of provisional HQ
Saab,saab,PLATFORM,,,,HQ place missing; Founding year missing
Saab Seaeye,saab-seaeye,OEM,Fareham,,,Independent confirmation of provisional HQ; Founding year missing
Salesforce Ventures,salesforce-ventures,INVESTOR,San Francisco,,,Independent confirmation of provisional HQ; Founding year missing
Sama,sama,DATA_SIMULATION_PROVIDER,San Francisco,2008,,Independent confirmation of provisional HQ
Samsung Electronics,samsung,CHIPMAKER|COMPONENT_SUPPLIER|INVESTOR|PLATFORM,Suwon,,,Founding year missing
Saronic Technologies,saronic-technologies,OEM,Austin,,,Independent confirmation of provisional HQ; Founding year missing
Seasats,seasats,OEM,San Diego,,,Independent confirmation of provisional HQ; Founding year missing
Seegrid,seegrid,OEM,Pittsburgh,,,Founding year missing
Segments.ai,segments-ai,DATA_SIMULATION_PROVIDER,Leuven,,,Independent confirmation of provisional HQ; Founding year missing
Seiko Epson,seiko-epson,PLATFORM,,,,HQ place missing; Founding year missing
Serve Robotics,serve-robotics,OEM|OPERATOR,Redwood City,2021,NASDAQ:SERV,Independent confirmation of provisional HQ
Shadow Robot Company,shadow-robot-company,COMPONENT_SUPPLIER,London,,,Independent confirmation of provisional HQ; Founding year missing
Shaip,shaip,DATA_SIMULATION_PROVIDER,Louisville,,,Independent confirmation of provisional HQ; Founding year missing
Shanghai AI Laboratory,shanghai-ai-laboratory,MODEL_DEVELOPER|RESEARCH_LAB,Shanghai,,,Independent confirmation of provisional HQ; Founding year missing
Shanghai Ant Lingbo Technology (Robbyant),shanghai-ant-lingbo-technology-robbyant,MODEL_DEVELOPER,Shanghai,,,Independent confirmation of provisional HQ; Founding year missing
SharkNinja,sharkninja,OEM,Needham,,,Founding year missing
Siemens,siemens,PLATFORM,,1847,,HQ place missing
Siemens Digital Industries Software,siemens-digital-industries-software,DATA_SIMULATION_PROVIDER,Plano,,,Founding year missing
Sift,sift,TOOLING_OPS_PROVIDER,Marina del Rey,,,Independent confirmation of provisional HQ; Founding year missing
SKY ENGINE AI,sky-engine-ai,DATA_SIMULATION_PROVIDER,London,,,Independent confirmation of provisional HQ; Founding year missing
SkySpecs,skyspecs,OPERATOR,Ann Arbor,,,Founding year missing
SNCF,sncf,PLATFORM,,,,HQ place missing; Founding year missing
SoftBank Group,softbank-group,INVESTOR|PLATFORM,Tokyo,1981,TSE:9984,Independent confirmation of provisional HQ
Sony AI,sony-ai,RESEARCH_LAB,Tokyo,,,Independent confirmation of provisional HQ; Founding year missing
Sony Group,sony-group,PLATFORM,Tokyo,1946,,Independent confirmation of provisional HQ
Southwest Research Institute (SwRI),southwest-research-institute-swri,INTEGRATOR|RESEARCH_LAB,San Antonio,,,Independent confirmation of provisional HQ; Founding year missing
Square Robot,square-robot,OEM|OPERATOR,Boston,2017,,Independent confirmation of provisional HQ
SSI Schaefer,ssi-schaefer,INTEGRATOR|OEM,Neunkirchen,1937,,Independent confirmation of provisional HQ
ST Engineering,st-engineering,PLATFORM,,,,HQ place missing; Founding year missing
Stanford University,stanford-university,RESEARCH_LAB,,,,HQ place missing; Founding year missing
Stanford Vision and Learning Lab (SVL),stanford-vision-and-learning-lab-svl,RESEARCH_LAB,Stanford,,,Independent confirmation of provisional HQ; Founding year missing
STMicroelectronics,stmicroelectronics,CHIPMAKER|COMPONENT_SUPPLIER,Geneva,1987,NYSE:STM,Independent confirmation of provisional HQ
STOBER,stober,COMPONENT_SUPPLIER,Pforzheim,1934,,Independent confirmation of provisional HQ
Stout AgTech,stout-agtech,OEM,Salinas,2019,,Independent confirmation of provisional HQ
Sumitomo Drive Technologies,sumitomo-drive-technologies,COMPONENT_SUPPLIER,Tokyo,,,Independent confirmation of provisional HQ; Founding year missing
SVT Robotics,svt-robotics,INTEGRATOR|TOOLING_OPS_PROVIDER,Norfolk,,,Independent confirmation of provisional HQ; Founding year missing
Swisslog,swisslog,INTEGRATOR,Buchs,,,Founding year missing
SYNAOS,synaos,TOOLING_OPS_PROVIDER,Hannover,2018,,Independent confirmation of provisional HQ
Synapticon,synapticon,COMPONENT_SUPPLIER,Schonaich,2012,,Independent confirmation of provisional HQ
Syrius Robotics,syrius-robotics,OEM,Shenzhen,,,Independent confirmation of provisional HQ; Founding year missing
Tangram Vision,tangram-vision,TOOLING_OPS_PROVIDER,,,,HQ place missing; Founding year missing
TDK,tdk,PLATFORM,,,,HQ place missing; Founding year missing
TDK InvenSense,tdk-invensense,CHIPMAKER|COMPONENT_SUPPLIER,San Jose,,,Independent confirmation of provisional HQ; Founding year missing
Teal Drones,teal-drones,OEM,Salt Lake City,2014,,Independent confirmation of provisional HQ
Techman Robot,techman-robot,OEM,Taoyuan,,,Founding year missing
Technical University of Munich,technical-university-of-munich,RESEARCH_LAB,,,,HQ place missing; Founding year missing
Teledyne Optech,teledyne-optech,COMPONENT_SUPPLIER,Toronto,1974,,Independent confirmation of provisional HQ
Teledyne Technologies,teledyne-technologies,PLATFORM,,,,HQ place missing; Founding year missing
Teleo,teleo,TOOLING_OPS_PROVIDER,Palo Alto,,,Independent confirmation of provisional HQ; Founding year missing
Temasek,temasek,INVESTOR,Singapore,,,Independent confirmation of provisional HQ; Founding year missing
Tencent Robotics X,tencent-robotics-x,MODEL_DEVELOPER|RESEARCH_LAB,Shenzhen,,,Independent confirmation of provisional HQ; Founding year missing
Tesla,tesla,MODEL_DEVELOPER|OEM,,,NASDAQ:TSLA,HQ place missing; Founding year missing
Tesollo,tesollo,COMPONENT_SUPPLIER,Seongnam,2019,,Independent confirmation of provisional HQ
Tether,tether,INVESTOR,San Salvador,,,Independent confirmation of provisional HQ; Founding year missing
Texas Instruments,texas-instruments,CHIPMAKER|COMPONENT_SUPPLIER,Dallas,,NASDAQ:TXN,Founding year missing
Textron,textron,PLATFORM,,,,HQ place missing; Founding year missing
Textron Systems,textron-systems,OEM,Hunt Valley,,,Independent confirmation of provisional HQ; Founding year missing
TGW Logistics Group,tgw-logistics-group,INTEGRATOR,Marchtrenk,1969,,Independent confirmation of provisional HQ
Third Wave Automation,third-wave-automation,OEM,San Francisco Bay Area,,,Founding year missing
Timken,timken,COMPONENT_SUPPLIER,,,,HQ place missing; Founding year missing
Torc Robotics,torc-robotics,MODEL_DEVELOPER,Blacksburg,,,Independent confirmation of provisional HQ; Founding year missing
Toyota Automated Logistics,toyota-automated-logistics,INTEGRATOR,Indianapolis,,,Independent confirmation of provisional HQ; Founding year missing
Toyota Industries,toyota-industries,PLATFORM,,,,HQ place missing; Founding year missing
Toyota Motor Corporation,toyota,INVESTOR|PLATFORM,Toyota City,,,Founding year missing
TRACLabs,traclabs,INTEGRATOR|TOOLING_OPS_PROVIDER,Houston,,,Independent confirmation of provisional HQ; Founding year missing
TU Delft Robotics Institute,tu-delft-robotics-institute,RESEARCH_LAB,Delft,,,Independent confirmation of provisional HQ; Founding year missing
Ubiquity Global Services,ubiquity-global-services,PLATFORM,New York City,,,Founding year missing
ULC Technologies,ulc-technologies,OEM|OPERATOR,Hauppauge,,,Founding year missing
University of Oxford,university-of-oxford,RESEARCH_LAB,,,,HQ place missing; Founding year missing
University of Pennsylvania,university-of-pennsylvania,RESEARCH_LAB,,,,HQ place missing; Founding year missing
Vecna Robotics,vecna,OEM,Boston,,,Founding year missing
VectorNav Technologies,vectornav-technologies,COMPONENT_SUPPLIER,Dallas,,,Independent confirmation of provisional HQ; Founding year missing
Verdant Robotics,verdant-robotics,OEM,Hayward,,,Independent confirmation of provisional HQ; Founding year missing
Visual Components,visual-components,DATA_SIMULATION_PROVIDER,Espoo,,,Founding year missing
Volvo Cars,volvo-cars,INVESTOR,,,,HQ place missing; Founding year missing
Volvo Cars Tech Fund,volvo-cars-tech-fund,INVESTOR,Gothenburg,2018,,Independent confirmation of provisional HQ
Voxel51,voxel51,DATA_SIMULATION_PROVIDER|TOOLING_OPS_PROVIDER,Ann Arbor,2018,,Independent confirmation of provisional HQ
Vsquared Ventures,vsquared-ventures,INVESTOR,Munich,,,Independent confirmation of provisional HQ; Founding year missing
Waabi,waabi,MODEL_DEVELOPER,Toronto,,,Independent confirmation of provisional HQ; Founding year missing
Walmart,walmart,OPERATOR,,,,HQ place missing; Founding year missing
Wandelbots,wandelbots,TOOLING_OPS_PROVIDER,Dresden,,,Independent confirmation of provisional HQ; Founding year missing
Weave Robotics,weave-robotics,OEM,San Francisco,,,Independent confirmation of provisional HQ; Founding year missing
Wing,wing,OEM|OPERATOR,Palo Alto,2012,,Independent confirmation of provisional HQ
Wingcopter,wingcopter,OEM|OPERATOR,Darmstadt,,,Founding year missing
Wonik Robotics,wonik-robotics,COMPONENT_SUPPLIER,Seongnam,,,Independent confirmation of provisional HQ; Founding year missing
World Labs,world-labs,DATA_SIMULATION_PROVIDER,San Francisco,,,Independent confirmation of provisional HQ; Founding year missing
X Development (Alphabet X),x-development-alphabet-x,RESEARCH_LAB,Mountain View,,,Independent confirmation of provisional HQ; Founding year missing
X Square Robot,x-square-robot,MODEL_DEVELOPER|OEM,Shenzhen,,,Independent confirmation of provisional HQ; Founding year missing
XELA Robotics,xela-robotics,COMPONENT_SUPPLIER,Tokyo,,,Independent confirmation of provisional HQ; Founding year missing
Xenex Disinfection Services,xenex-disinfection-services,OEM,San Antonio,,,Independent confirmation of provisional HQ; Founding year missing
Zebra Technologies,zebra-technologies,OEM,Lincolnshire,,,Founding year missing
Zhejiang Shuanghuan Driveline,zhejiang-shuanghuan-driveline,COMPONENT_SUPPLIER,Taizhou,,,Independent confirmation of provisional HQ; Founding year missing
Zimmer Group,zimmer-group,COMPONENT_SUPPLIER,Rheinau,,,Independent confirmation of provisional HQ; Founding year missing
Zivid,zivid,COMPONENT_SUPPLIER,Oslo,,,Independent confirmation of provisional HQ; Founding year missing
